,Estado,Ano,Emissões_CO2e
614,Distrito Federal,2011,-59.483511092517446
616,Rondônia,2012,33516.04037034059
617,Acre,2012,12066.651414094948
618,Amazonas,2012,-103213.84543836735
619,Roraima,2012,-12054.317791704476
620,Pará,2012,19213.318278812927
621,Amapá,2012,-11993.792195197855
622,Tocantins,2012,22736.834345244442
623,Maranhão,2012,65163.544305366726
624,Piauí,2012,17432.46669276907
625,Ceará,2012,3534.0590202850058
626,Rio Grande do Norte,2012,857.9623062925286
627,Paraíba,2012,925.8599683622123
628,Pernambuco,2012,1559.9093257378763
629,Alagoas,2012,854.3661915778238
630,Sergipe,2012,943.767909634835
631,Bahia,2012,25587.98028830605
632,Minas Gerais,2012,20574.980565339152
633,Espírito Santo,2012,-2090.525502917326
634,Rio de Janeiro,2012,171.30392770208027
635,São Paulo,2012,-5580.714949285571
636,Paraná,2012,-2450.204789366407
637,Santa Catarina,2012,-4510.762678313217
638,Rio Grande do Sul,2012,5304.0642341162165
639,Mato Grosso do Sul,2012,7612.965618758391
640,Mato Grosso,2012,60249.39602154419
641,Goiás,2012,22529.13333883305
642,Distrito Federal,2012,-59.56209101646474
644,Rondônia,2013,44388.29946354415
645,Acre,2013,4659.277904753686
646,Amazonas,2013,-98929.62860666169
647,Roraima,2013,-8279.018972024214
648,Pará,2013,71462.56666809105
649,Amapá,2013,-12146.753722942523
650,Tocantins,2013,43984.386967112434
651,Maranhão,2013,85495.50145407885
652,Piauí,2013,23299.54836349832
653,Ceará,2013,3318.9943019045018
654,Rio Grande do Norte,2013,1195.3053898271019
655,Paraíba,2013,870.9199256491637
656,Pernambuco,2013,1547.134576004364
657,Alagoas,2013,246.54032423965688
658,Sergipe,2013,213.090385679026
659,Bahia,2013,26701.744177660432
660,Minas Gerais,2013,29906.608102265916
661,Espírito Santo,2013,-2547.424175058517
662,Rio de Janeiro,2013,-302.76880904669366
663,São Paulo,2013,-4206.627446108259
664,Paraná,2013,-1453.1351790602048
665,Santa Catarina,2013,-1774.0925880894563
666,Rio Grande do Sul,2013,5805.813710475152
667,Mato Grosso do Sul,2013,15668.811576719358
668,Mato Grosso,2013,116649.76404681013
669,Goiás,2013,38687.722450005414
670,Distrito Federal,2013,109.91271879612054
672,Rondônia,2014,26821.871491402733
673,Acre,2014,12305.099765289686
674,Amazonas,2014,-105226.76765595163
675,Roraima,2014,-4049.0813475706755
676,Pará,2014,31793.78800398031
677,Amapá,2014,-11186.569578048677
678,Tocantins,2014,31722.672730210634
679,Maranhão,2014,75026.21412624171
680,Piauí,2014,20775.887451952345
681,Ceará,2014,3021.8190391067715
682,Rio Grande do Norte,2014,738.3454204336879
683,Paraíba,2014,830.6875353747398
684,Pernambuco,2014,1233.1848724526637
685,Alagoas,2014,222.58503033763452
686,Sergipe,2014,39.28018487248062
687,Bahia,2014,18144.046882868726
688,Minas Gerais,2014,27938.426354993855
689,Espírito Santo,2014,-2864.30359110538
690,Rio de Janeiro,2014,-164.80475067257422
691,São Paulo,2014,-3108.0177466814393
692,Paraná,2014,-8086.491470717273
693,Santa Catarina,2014,588.8130783626665
694,Rio Grande do Sul,2014,3467.017724628249
695,Mato Grosso do Sul,2014,3380.4331504451206
696,Mato Grosso,2014,87207.43141768573
697,Goiás,2014,29110.339989888096
698,Distrito Federal,2014,437.65928283624874
700,Rondônia,2015,52857.366410480245
701,Acre,2015,8758.332062554644
702,Amazonas,2015,-89060.34188565133
703,Roraima,2015,-9210.205746624872
704,Pará,2015,56755.26617571013
705,Amapá,2015,-12028.7620078199
706,Tocantins,2015,46141.61003227383
707,Maranhão,2015,63048.27364346843
708,Piauí,2015,14948.610032951692
709,Ceará,2015,3234.0254049779983
710,Rio Grande do Norte,2015,848.4257990443551
711,Paraíba,2015,881.2929278631768
712,Pernambuco,2015,1420.0554824182211
