,Unidade Territorial,Referência,TAC
434,AMAZONAS,2016-08-01,71.38
435,RORAIMA,2016-08-01,78.01
436,PARÁ,2016-08-01,71.85
437,AMAPÁ,2016-08-01,75.43
438,TOCANTINS,2016-08-01,73.44
439,MARANHÃO,2016-08-01,70.26
440,PIAUÍ,2016-08-01,70.95
441,CEARÁ,2016-08-01,73.63
442,RIO GRANDE DO NORTE,2016-08-01,70.43
443,PARAÍBA,2016-08-01,73.25
444,PERNAMBUCO,2016-08-01,74.03
445,ALAGOAS,2016-08-01,70.3
446,SERGIPE,2016-08-01,72.44
447,BAHIA,2016-08-01,73.77
448,MINAS GERAIS,2016-08-01,68.5
449,ESPÍRITO SANTO,2016-08-01,64.12
450,RIO DE JANEIRO,2016-08-01,64.08
451,SÃO PAULO,2016-08-01,64.98
452,PARANÁ,2016-08-01,69.65
453,SANTA CATARINA,2016-08-01,61.2
454,RIO GRANDE DO SUL,2016-08-01,62.92
455,MATO GROSSO DO SUL,2016-08-01,64.79
456,MATO GROSSO,2016-08-01,65.78
457,GOIÁS,2016-08-01,65.82
458,DISTRITO FEDERAL,2016-08-01,50.33
459,RONDÔNIA,2016-09-01,63.06
460,ACRE,2016-09-01,76.63
461,AMAZONAS,2016-09-01,71.75
462,RORAIMA,2016-09-01,78.24
463,PARÁ,2016-09-01,72.17
464,AMAPÁ,2016-09-01,75.68
465,TOCANTINS,2016-09-01,75.54
466,MARANHÃO,2016-09-01,71.33
467,PIAUÍ,2016-09-01,71.54
468,CEARÁ,2016-09-01,74.95
469,RIO GRANDE DO NORTE,2016-09-01,71.43
470,PARAÍBA,2016-09-01,74.24
471,PERNAMBUCO,2016-09-01,74.75
472,ALAGOAS,2016-09-01,71.25
473,SERGIPE,2016-09-01,73.4
474,BAHIA,2016-09-01,74.46
475,MINAS GERAIS,2016-09-01,70.92
476,ESPÍRITO SANTO,2016-09-01,66.08
477,RIO DE JANEIRO,2016-09-01,65.3
478,SÃO PAULO,2016-09-01,67.57
479,PARANÁ,2016-09-01,74.28
480,SANTA CATARINA,2016-09-01,64.6
481,RIO GRANDE DO SUL,2016-09-01,65.19
482,MATO GROSSO DO SUL,2016-09-01,68.03
483,MATO GROSSO,2016-09-01,68.9
484,GOIÁS,2016-09-01,68.68
485,DISTRITO FEDERAL,2016-09-01,51.48
486,RONDÔNIA,2016-10-01,63.11
487,ACRE,2016-10-01,76.37
488,AMAZONAS,2016-10-01,72.01
489,RORAIMA,2016-10-01,77.21
490,PARÁ,2016-10-01,72.01
491,AMAPÁ,2016-10-01,75.06
492,TOCANTINS,2016-10-01,75.88
493,MARANHÃO,2016-10-01,72.28
494,PIAUÍ,2016-10-01,72.0
495,CEARÁ,2016-10-01,75.17
496,RIO GRANDE DO NORTE,2016-10-01,71.62
497,PARAÍBA,2016-10-01,75.13
498,PERNAMBUCO,2016-10-01,74.76
499,ALAGOAS,2016-10-01,72.32
500,SERGIPE,2016-10-01,73.78
501,BAHIA,2016-10-01,74.58
502,MINAS GERAIS,2016-10-01,71.24
503,ESPÍRITO SANTO,2016-10-01,65.67
504,RIO DE JANEIRO,2016-10-01,65.48
505,SÃO PAULO,2016-10-01,67.83
506,PARANÁ,2016-10-01,74.3
